Date;Day;Round;Venue;Result;Squad;Opponent;Start;Pos;Min;Gls;Ast;PK;PKatt;Sh;SoT;CrdY;CrdR;Touches;Press;Tkl;Int;Blocks;xG;npxG;xA;SCA;GCA;Cmp;Att;Cmp%;Prog;Carries;Prog;Succ;Att;Rating;MOTM
15/01/2022;Sat;Matchweek 22;Away;D 2–2;Manchester Utd;Aston Villa;Y;RW;88;0;0;0;0;5;2;0;0;38;9;1;0;0;0,4;0,4;0;2;0;24;27;88,9;1;33;7;1;1;7,1;
03/01/2022;Mon;Matchweek 21;Home;L 0–1;Manchester Utd;Wolves;Y;RM;59;0;0;0;0;1;0;0;0;31;9;1;0;0;0;0;0,1;2;0;17;23;73,9;0;33;7;6;8;6,7;
30/12/2021;Thu;Matchweek 20;Home;W 3–1;Manchester Utd;Burnley;Y;RM;80;0;0;0;0;4;2;0;0;53;5;1;0;0;0,3;0,3;0,2;6;1;32;42;76,2;0;39;9;2;2;7,6;
27/12/2021;Mon;Matchweek 19;Away;D 1–1;Manchester Utd;Newcastle Utd;Y;FW;45;0;0;0;0;2;1;0;0;19;11;1;0;0;0,2;0,2;0;0;0;10;14;71,4;0;15;0;0;0;6,5;
11/12/2021;Sat;Matchweek 16;Away;W 1–0;Manchester Utd;Norwich City;N;AM;24;0;0;0;0;0;0;0;0;9;5;0;0;0;0;0;0;1;0;6;6;100;1;8;1;0;3;6;
05/12/2021;Sun;Matchweek 15;Home;W 1–0;Manchester Utd;Crystal Palace;N;AM;29;0;1;0;0;1;0;0;0;20;11;3;0;0;0,1;0,1;0,1;2;1;12;15;80;1;13;3;0;1;7,4;
06/11/2021;Sat;Matchweek 11;Home;L 0–2;Manchester Utd;Manchester City;Y;FW,RW,LW;66;0;0;0;0;2;0;0;0;27;13;1;0;0;0,5;0,5;0;0;0;14;17;82,4;0;18;3;0;3;6,2;
24/10/2021;Sun;Matchweek 9;Home;L 0–5;Manchester Utd;Liverpool;Y;RW;45;0;0;0;0;1;1;0;0;18;0;0;1;0;0;0;0,5;2;0;11;16;68,8;3;14;3;0;0;6,4;
16/10/2021;Sat;Matchweek 8;Away;L 2–4;Manchester Utd;Leicester City;Y;RW;79;1;0;0;0;5;2;0;0;35;10;0;0;0;0,3;0,3;0;2;1;23;28;82,1;2;30;9;1;2;7,4;
02/10/2021;Sat;Matchweek 7;Home;D 1–1;Manchester Utd;Everton;Y;RW;90;0;0;0;0;2;2;1;0;69;10;0;0;1;0;0;0;2;1;44;59;74,6;9;56;7;1;3;7,3;
