Date;Day;Round;Venue;Result;Squad;Opponent;Start;Pos;Min;Gls;Ast;PK;PKatt;Sh;SoT;CrdY;CrdR;Touches;Press;Tkl;Int;Blocks;xG;npxG;xA;SCA;GCA;Cmp;Att;Cmp%;Prog;Carries;Prog;Succ;Att;Rating;MOTM
31/10/2021;Sun;Matchweek 10;Away;W 4–1;West Ham;Aston Villa;Y;AM,LW;89;1;0;0;0;2;1;1;0;42;24;0;2;1;0,4;0,4;0,1;3;0;23;32;71,9;7;30;7;1;4;8;
24/10/2021;Sun;Matchweek 9;Home;W 1–0;West Ham;Tottenham;Y;LW;90;0;0;0;0;3;2;0;0;46;30;3;1;3;0,2;0,2;0,2;4;1;23;32;71,9;6;31;6;3;4;8;
17/10/2021;Sun;Matchweek 8;Away;W 1–0;West Ham;Everton;Y;LW,DM;90;0;0;0;0;3;0;1;0;65;15;3;3;4;0,2;0,2;0;3;0;34;48;70,8;2;48;4;0;2;6,7;
03/10/2021;Sun;Matchweek 7;Home;L 1–2;West Ham;Brentford;Y;LW;90;0;0;0;0;2;0;0;0;49;19;1;1;2;0,2;0,2;0;3;0;28;36;77,8;7;38;3;1;3;6,9;
25/09/2021;Sat;Matchweek 6;Away;W 2–1;West Ham;Leeds United;Y;AM;77;0;0;0;0;1;1;1;0;33;18;2;2;1;0,4;0,4;0,1;4;0;14;23;60,9;2;19;2;0;0;7,2;
19/09/2021;Sun;Matchweek 5;Home;L 1–2;West Ham;Manchester Utd;Y;RM;90;0;0;0;0;2;0;0;0;52;37;2;0;3;0,2;0,2;0;5;0;33;37;89,2;7;29;3;0;1;5,2;
11/09/2021;Sat;Matchweek 4;Away;D 0–0;West Ham;Southampton;Y;LW;90;0;0;0;0;0;0;0;0;62;23;2;2;0;0;0;0;1;0;42;53;79,2;2;39;8;0;1;7;
28/08/2021;Sat;Matchweek 3;Home;D 2–2;West Ham;Crystal Palace;Y;AM,RW;86;1;0;0;0;3;1;0;0;51;8;0;2;0;0,5;0,5;0;2;1;29;38;76,3;6;38;5;0;1;7,7;
23/08/2021;Mon;Matchweek 2;Home;W 4–1;West Ham;Leicester City;Y;AM;90;1;0;0;0;1;1;0;0;54;17;2;0;1;0,2;0,2;0,2;3;1;39;50;78;4;41;5;2;2;8,3;
15/08/2021;Sun;Matchweek 1;Away;W 4–2;West Ham;Newcastle Utd;Y;LW;90;0;1;0;0;2;1;0;0;74;27;2;4;2;0,1;0,1;0,6;5;1;50;60;83,3;15;55;12;0;1;8,5;
20/03/2022;Sun;Matchweek 30;Away;L 1–3;West Ham;Tottenham;Y;AM,RW,CM;90;1;0;0;0;1;1;0;0;32;7;2;1;1;0,1;0,1;0,1;1;0;16;18;88,9;2;30;5;2;5;8;
13/03/2022;Sun;Matchweek 29;Home;W 2–1;West Ham;Aston Villa;Y;LW;86;0;2;0;0;4;1;0;0;57;11;0;2;0;0,2;0,2;0,4;4;2;32;43;74,4;3;51;9;2;7;8,7;1
05/03/2022;Sat;Matchweek 28;Away;L 0–1;West Ham;Liverpool;N;LM;38;0;0;0;0;0;0;0;0;24;7;2;0;0;0;0;0;0;0;10;19;52,6;1;20;3;1;2;6,4;
19/02/2022;Sat;Matchweek 26;Home;D 1–1;West Ham;Newcastle Utd;Y;AM,LW;72;0;0;0;0;0;0;0;0;33;22;2;0;1;0;0;0,2;3;0;17;23;73,9;4;24;5;1;2;6,8;
13/02/2022;Sun;Matchweek 25;Away;D 2–2;West Ham;Leicester City;N;AM;12;0;0;0;0;3;1;0;0;14;0;0;0;0;0,1;0,1;0;2;1;6;7;85,7;1;15;2;2;5;6;
08/02/2022;Tue;Matchweek 24;Home;W 1–0;West Ham;Watford;Y;LW;59;0;0;0;0;3;0;0;0;26;9;1;2;0;0,4;0,4;0;2;0;11;17;64,7;0;16;2;1;2;7,1;
01/01/2022;Sat;Matchweek 21;Away;W 3–2;West Ham;Crystal Palace;Y;LW;70;0;1;0;0;3;1;0;0;28;10;1;0;1;0,3;0,3;0,4;2;1;14;19;73,7;1;20;5;0;2;7,5;
28/12/2021;Tue;Matchweek 20;Away;W 4–1;West Ham;Watford;Y;LW;84;1;0;0;0;2;1;0;0;41;13;1;2;1;0,2;0,2;0,2;3;0;17;26;65,4;1;27;2;1;2;8,4;
26/12/2021;Sun;Matchweek 19;Home;L 2–3;West Ham;Southampton;Y;LW;80;1;0;0;0;2;1;0;0;36;10;1;0;1;0,5;0,5;0;0;0;21;29;72,4;1;27;2;0;1;7,5;
15/12/2021;Wed;Matchweek 17;Away;L 0–2;West Ham;Arsenal;N;LW,AM;15;0;0;0;0;1;0;0;0;11;4;1;0;0;0,1;0,1;0;0;0;7;9;77,8;1;9;3;0;1;5,9;
12/12/2021;Sun;Matchweek 16;Away;D 0–0;West Ham;Burnley;Y;LW;69;0;0;0;0;4;1;0;0;35;5;0;0;1;0,2;0,2;0;3;0;21;25;84;2;26;5;1;3;6,8;
04/12/2021;Sat;Matchweek 15;Home;W 3–2;West Ham;Chelsea;N;AM;6;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;1;0;2;3;66,7;0;2;0;0;0;0;
01/12/2021;Wed;Matchweek 14;Home;D 1–1;West Ham;Brighton;Y;LW,AM;75;0;0;0;0;1;0;0;0;41;22;2;0;5;0;0;0;2;0;13;24;54,2;2;26;4;2;7;6,8;
28/11/2021;Sun;Matchweek 13;Away;L 1–2;West Ham;Manchester City;Y;AM;58;0;0;0;0;2;2;0;0;18;12;0;0;0;0,1;0,1;0;0;0;8;13;61,5;0;16;1;2;2;6,1;
20/11/2021;Sat;Matchweek 12;Away;L 0–1;West Ham;Wolves;Y;AM;70;0;0;0;0;0;0;0;0;46;16;2;1;2;0;0;0;1;0;27;34;79,4;2;29;3;1;4;6,3;
07/11/2021;Sun;Matchweek 11;Home;W 3–2;West Ham;Liverpool;Y;LW;85;0;0;0;0;0;0;0;0;37;13;0;0;1;0;0;0,2;2;0;22;30;73,3;4;32;6;2;2;7,4;
31/10/2021;Sun;Matchweek 10;Away;W 4–1;West Ham;Aston Villa;Y;LW;63;0;1;0;0;2;0;0;0;29;7;1;0;0;0,1;0,1;0;3;1;18;21;85,7;2;24;4;1;2;7,6;
24/10/2021;Sun;Matchweek 9;Home;W 1–0;West Ham;Tottenham;Y;AM;84;0;0;0;0;3;1;0;0;42;33;2;0;1;0,2;0,2;0;2;0;24;28;85,7;1;30;3;0;3;6,6;
17/10/2021;Sun;Matchweek 8;Away;W 1–0;West Ham;Everton;Y;AM;86;0;0;0;0;3;0;0;0;44;5;0;1;0;0,2;0,2;0,1;3;0;29;37;78,4;4;37;7;1;2;7;
03/10/2021;Sun;Matchweek 7;Home;L 1–2;West Ham;Brentford;Y;AM;90;0;0;0;0;5;2;0;0;43;7;1;1;1;0,3;0,3;0,1;4;0;25;33;75,8;6;27;3;0;1;7,1;
25/09/2021;Sat;Matchweek 6;Away;W 2–1;West Ham;Leeds United;Y;LW,RW;90;0;0;0;0;4;1;0;0;48;14;5;1;0;0,2;0,2;0,3;6;0;27;34;79,4;3;39;6;2;3;8,3;
19/09/2021;Sun;Matchweek 5;Home;L 1–2;West Ham;Manchester Utd;Y;FW;87;1;0;0;0;3;1;0;0;51;20;2;0;0;0,1;0,1;0,1;2;0;28;39;71,8;1;39;2;2;2;8;
11/09/2021;Sat;Matchweek 4;Away;D 0–0;West Ham;Southampton;Y;AM;62;0;0;0;0;2;0;0;0;49;14;1;0;0;0;0;0,1;4;0;30;41;73,2;1;36;6;0;1;7,2;
28/08/2021;Sat;Matchweek 3;Home;D 2–2;West Ham;Crystal Palace;Y;LW,AM;90;0;0;0;0;1;1;0;0;39;10;2;0;0;0,2;0,2;0;1;0;26;29;89,7;7;31;2;1;2;6,7;
23/08/2021;Mon;Matchweek 2;Home;W 4–1;West Ham;Leicester City;Y;LW;87;1;1;0;0;2;2;0;0;50;15;0;0;1;0,6;0,6;0,3;3;1;31;37;83,8;0;40;5;1;2;8,5;
15/08/2021;Sun;Matchweek 1;Away;W 4–2;West Ham;Newcastle Utd;Y;AM;87;1;1;0;0;3;1;0;0;44;10;1;0;0;0,2;0,2;0,2;5;2;23;34;67,6;3;37;6;1;3;8,4;
05/03/2022;Sat;Matchweek 28;Away;L 0–1;West Ham;Liverpool;Y;RM;52;0;0;0;0;2;0;0;0;17;6;1;1;0;0,2;0,2;0,3;4;0;9;10;90;1;14;3;0;1;6;
27/02/2022;Sun;Matchweek 27;Home;W 1–0;West Ham;Wolves;Y;RW;90;0;0;0;0;1;1;0;0;29;15;0;3;0;0,5;0,5;0,1;1;0;14;21;66,7;0;18;4;0;1;6,7;
19/02/2022;Sat;Matchweek 26;Home;D 1–1;West Ham;Newcastle Utd;Y;RW;90;0;0;0;0;2;2;1;0;29;24;2;1;1;0,1;0,1;0;1;0;10;18;55,6;0;16;6;0;1;6,4;
13/02/2022;Sun;Matchweek 25;Away;D 2–2;West Ham;Leicester City;Y;RW,LW;90;1;1;0;0;3;1;0;0;36;18;1;1;3;0,3;0,3;0,1;2;1;14;22;63,6;0;21;3;1;3;8,6;1
08/02/2022;Tue;Matchweek 24;Home;W 1–0;West Ham;Watford;Y;RW;90;1;0;0;0;2;2;0;0;59;9;1;2;2;0,1;0,1;0,3;4;0;33;48;68,8;6;36;9;1;2;8,5;
22/01/2022;Sat;Matchweek 23;Away;L 0–1;West Ham;Manchester Utd;Y;RW;90;0;0;0;0;1;0;0;0;40;11;2;3;0;0;0;0,2;1;0;18;23;78,3;2;31;3;1;3;6,7;
16/01/2022;Sun;Matchweek 22;Home;L 2–3;West Ham;Leeds United;Y;RW,AM;90;1;0;0;0;5;1;0;0;45;28;2;1;4;0,9;0,9;0;0;0;12;24;50;0;25;3;1;2;7,7;
12/01/2022;Wed;Matchweek 18;Home;W 2–0;West Ham;Norwich City;Y;RW;90;2;0;0;0;5;3;0;0;52;24;1;2;2;1,6;1,6;0;0;0;22;35;62,9;4;29;12;0;1;9,3;1
01/01/2022;Sat;Matchweek 21;Away;W 3–2;West Ham;Crystal Palace;Y;RW;90;0;0;0;0;1;0;0;0;44;17;3;0;1;0;0;0;0;0;23;29;79,3;0;33;1;0;3;7;
28/12/2021;Tue;Matchweek 20;Away;W 4–1;West Ham;Watford;Y;RW;90;0;2;0;0;3;1;0;0;45;14;1;0;1;0,6;0,6;1,2;7;4;23;35;65,7;4;34;3;4;4;9;1
26/12/2021;Sun;Matchweek 19;Home;L 2–3;West Ham;Southampton;Y;FW,RW,LW;90;0;1;0;0;0;0;1;0;38;12;0;0;1;0;0;0,4;3;2;14;27;51,9;0;23;3;0;3;6,4;
15/12/2021;Wed;Matchweek 17;Away;L 0–2;West Ham;Arsenal;Y;RW,FW;90;0;0;0;0;3;1;0;0;24;4;0;1;1;0,2;0,2;0;1;0;10;18;55,6;0;17;3;0;0;6,4;
12/12/2021;Sun;Matchweek 16;Away;D 0–0;West Ham;Burnley;Y;RW;90;0;0;0;0;2;1;0;0;60;14;2;1;3;0,1;0,1;0,2;6;0;30;44;68,2;2;37;5;0;4;7,3;
04/12/2021;Sat;Matchweek 15;Home;W 3–2;West Ham;Chelsea;Y;AM,RM;90;1;0;0;0;4;1;0;0;39;32;0;1;1;0,8;0,8;0;3;1;19;27;70,4;1;26;4;1;2;8,6;1
01/12/2021;Wed;Matchweek 14;Home;D 1–1;West Ham;Brighton;Y;RW;90;0;0;0;0;3;1;0;0;43;19;0;4;3;0,4;0,4;0,1;3;0;13;23;56,5;1;24;4;1;3;6,9;
28/11/2021;Sun;Matchweek 13;Away;L 1–2;West Ham;Manchester City;N;RW;17;0;0;0;0;0;0;0;0;15;6;0;3;0;0;0;0;1;0;7;10;70;0;10;1;0;2;6,1;
20/11/2021;Sat;Matchweek 12;Away;L 0–1;West Ham;Wolves;Y;RW;70;0;0;0;0;3;0;0;0;24;18;1;2;1;0,3;0,3;0;1;0;8;12;66,7;0;14;1;1;2;6,4;
07/11/2021;Sun;Matchweek 11;Home;W 3–2;West Ham;Liverpool;Y;RW;83;0;2;0;0;1;0;0;0;28;20;0;0;4;0,2;0,2;0,5;3;3;11;17;64,7;3;17;1;1;4;8,3;
31/10/2021;Sun;Matchweek 10;Away;W 4–1;West Ham;Aston Villa;Y;RW;89;1;0;0;0;6;3;1;0;47;28;2;0;4;1,3;1,3;0,1;5;1;14;26;53,8;2;30;5;1;1;8,6;
24/10/2021;Sun;Matchweek 9;Home;W 1–0;West Ham;Tottenham;Y;RW;89;0;0;0;0;2;0;0;0;33;25;3;1;2;0,1;0,1;0,1;2;0;13;17;76,5;2;23;4;0;0;6,9;
17/10/2021;Sun;Matchweek 8;Away;W 1–0;West Ham;Everton;Y;RW,AM;89;0;1;0;0;3;2;0;0;54;10;2;1;2;0,2;0,2;0,3;3;1;28;37;75,7;3;42;4;0;3;8;
03/10/2021;Sun;Matchweek 7;Home;L 1–2;West Ham;Brentford;Y;RW;90;1;0;0;0;3;2;0;0;35;11;2;0;2;0,4;0,4;0;1;0;17;26;65,4;0;26;4;1;1;7,7;
25/09/2021;Sat;Matchweek 6;Away;W 2–1;West Ham;Leeds United;Y;RW;89;0;0;0;0;3;0;0;0;42;12;1;2;0;0,1;0,1;0;4;0;25;29;86,2;2;31;3;1;2;6,1;
19/09/2021;Sun;Matchweek 5;Home;L 1–2;West Ham;Manchester Utd;Y;FW;89;0;1;0;0;4;2;0;0;30;19;1;1;1;0,4;0,4;0,2;5;1;12;16;75;2;17;2;2;4;7,9;
11/09/2021;Sat;Matchweek 4;Away;D 0–0;West Ham;Southampton;Y;RW;82;0;0;0;0;2;1;0;0;42;13;0;2;1;0,2;0,2;0,1;2;0;20;29;69;0;31;6;1;2;7,6;
28/08/2021;Sat;Matchweek 3;Home;D 2–2;West Ham;Crystal Palace;Y;RW;78;0;0;0;0;1;0;0;0;29;10;2;1;1;0;0;0,2;2;0;12;19;63,2;2;19;1;1;1;6,7;
23/08/2021;Mon;Matchweek 2;Home;W 4–1;West Ham;Leicester City;Y;RW;90;0;0;0;0;0;0;0;0;45;14;4;0;1;0;0;0,7;8;1;27;35;77,1;1;23;1;0;0;7,4;
15/08/2021;Sun;Matchweek 1;Away;W 4–2;West Ham;Newcastle Utd;Y;RW;89;0;0;0;0;2;2;0;0;35;14;2;0;1;0,5;0,5;0,1;7;2;19;27;70,4;2;26;9;3;3;7,6;
20/03/2022;Sun;Matchweek 30;Away;L 1–3;West Ham;Tottenham;N;FW;35;0;0;0;0;1;0;0;0;15;9;0;0;1;0,1;0,1;0;0;0;9;12;75;1;10;0;0;0;5,9;
13/03/2022;Sun;Matchweek 29;Home;W 2–1;West Ham;Aston Villa;N;FW;39;1;0;0;0;2;1;0;0;16;10;0;0;2;0,1;0,1;0;1;0;7;8;87,5;1;10;4;0;0;7,4;
16/01/2022;Sun;Matchweek 22;Home;L 2–3;West Ham;Leeds United;N;RW;22;0;0;0;0;1;1;1;0;10;7;1;0;0;0,1;0,1;0;0;0;1;5;20;0;6;1;0;0;6,1;
12/01/2022;Wed;Matchweek 18;Home;W 2–0;West Ham;Norwich City;N;FW;3;0;0;0;0;1;1;0;0;3;1;0;0;0;0,1;0,1;0;0;0;2;2;100;0;3;2;0;0;0;
26/12/2021;Sun;Matchweek 19;Home;L 2–3;West Ham;Southampton;N;RW;10;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;6;9;66,7;1;9;3;0;1;0;
20/11/2021;Sat;Matchweek 12;Away;L 0–1;West Ham;Wolves;N;RW;20;0;0;0;0;1;0;0;0;10;2;0;0;0;0;0;0;0;0;7;7;100;0;7;1;0;1;5,9;
17/10/2021;Sun;Matchweek 8;Away;W 1–0;West Ham;Everton;N;AM;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;
25/09/2021;Sat;Matchweek 6;Away;W 2–1;West Ham;Leeds United;N;FW;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
19/09/2021;Sun;Matchweek 5;Home;L 1–2;West Ham;Manchester Utd;N;LM;23;0;0;0;0;0;0;0;0;13;7;1;0;1;0;0;0;1;0;5;8;62,5;2;7;0;0;1;6,2;
11/09/2021;Sat;Matchweek 4;Away;D 0–0;West Ham;Southampton;N;RW;8;0;0;0;0;1;0;0;0;6;2;0;0;1;0;0;0;0;0;3;3;100;1;2;0;0;0;0;
28/08/2021;Sat;Matchweek 3;Home;D 2–2;West Ham;Crystal Palace;N;RW;4;0;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;1;0;2;2;100;0;4;0;1;1;0;
23/08/2021;Mon;Matchweek 2;Home;W 4–1;West Ham;Leicester City;N;FW;2;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;4;5;80;0;4;1;0;0;0;
15/08/2021;Sun;Matchweek 1;Away;W 4–2;West Ham;Newcastle Utd;N;RW,FW;1;0;0;0;0;0;0;0;0;6;2;0;0;0;0;0;0;0;0;4;6;66,7;0;4;0;0;0;0;
20/03/2022;Sun;Matchweek 30;Away;L 1–3;West Ham;Tottenham;Y;FW;55;0;0;0;0;3;0;0;0;25;5;1;1;0;0,3;0,3;0;2;0;5;10;50;0;13;2;1;2;6,8;
13/03/2022;Sun;Matchweek 29;Home;W 2–1;West Ham;Aston Villa;Y;FW;51;0;0;0;0;0;0;0;0;15;13;0;0;0;0;0;0,1;1;0;7;10;70;0;13;3;1;1;6,5;
05/03/2022;Sat;Matchweek 28;Away;L 0–1;West Ham;Liverpool;Y;FW;90;0;0;0;0;4;2;0;0;31;21;2;0;0;0,3;0,3;0;2;0;13;17;76,5;2;22;3;3;3;6,1;
27/02/2022;Sun;Matchweek 27;Home;W 1–0;West Ham;Wolves;Y;FW;89;0;1;0;0;2;1;1;0;40;13;1;1;2;0,1;0,1;0,9;5;1;15;26;57,7;1;29;4;1;2;8,3;1
19/02/2022;Sat;Matchweek 26;Home;D 1–1;West Ham;Newcastle Utd;Y;FW;90;0;0;0;0;3;0;0;0;55;18;1;1;3;0,2;0,2;0;3;1;24;36;66,7;4;40;5;1;4;6,8;
